id	store_code	availability
gla_1597	Nova Collection Thapae	in stock
gla_1778	Nova Collection Thapae	in stock
gla_2136	Nova Collection Thapae	in stock
gla_2142	Nova Collection Thapae	in stock
gla_2179	Nova Collection Thapae	in stock
gla_2185	Nova Collection Thapae	in stock
gla_2192	Nova Collection Thapae	in stock
gla_2220	Nova Collection Thapae	in stock
gla_2224	Nova Collection Thapae	in stock
gla_2228	Nova Collection Thapae	in stock
gla_2251	Nova Collection Thapae	in stock
gla_2263	Nova Collection Thapae	in stock
gla_2275	Nova Collection Thapae	in stock
gla_2282	Nova Collection Thapae	in stock
gla_2286	Nova Collection Thapae	in stock
gla_2290	Nova Collection Thapae	in stock
gla_2294	Nova Collection Thapae	in stock
gla_2299	Nova Collection Thapae	in stock
gla_2307	Nova Collection Thapae	in stock
gla_2313	Nova Collection Thapae	in stock
gla_2869	Nova Collection Thapae	in stock
gla_2874	Nova Collection Thapae	in stock
gla_6969	Nova Collection Thapae	in stock
gla_11132	Nova Collection Thapae	in stock
gla_13209	Nova Collection Thapae	in stock
gla_13394	Nova Collection Thapae	in stock
gla_13395	Nova Collection Thapae	in stock
gla_13400	Nova Collection Thapae	out of stock
gla_13401	Nova Collection Thapae	in stock
gla_13402	Nova Collection Thapae	in stock
gla_13403	Nova Collection Thapae	in stock
gla_13404	Nova Collection Thapae	in stock
gla_13405	Nova Collection Thapae	in stock
gla_13406	Nova Collection Thapae	in stock
gla_13407	Nova Collection Thapae	in stock
gla_13408	Nova Collection Thapae	in stock
gla_13409	Nova Collection Thapae	in stock
gla_13410	Nova Collection Thapae	in stock
gla_13411	Nova Collection Thapae	in stock
gla_13412	Nova Collection Thapae	in stock
gla_13418	Nova Collection Thapae	in stock
gla_13419	Nova Collection Thapae	in stock
gla_13421	Nova Collection Thapae	in stock
gla_13422	Nova Collection Thapae	out of stock
gla_13423	Nova Collection Thapae	in stock
gla_13424	Nova Collection Thapae	out of stock
gla_13425	Nova Collection Thapae	in stock
gla_13427	Nova Collection Thapae	in stock
gla_13428	Nova Collection Thapae	in stock
gla_13430	Nova Collection Thapae	in stock
gla_13431	Nova Collection Thapae	in stock
gla_13432	Nova Collection Thapae	in stock
gla_13433	Nova Collection Thapae	in stock
gla_13434	Nova Collection Thapae	out of stock
gla_13435	Nova Collection Thapae	in stock
gla_13436	Nova Collection Thapae	in stock
gla_13438	Nova Collection Thapae	in stock
gla_13439	Nova Collection Thapae	in stock
gla_13441	Nova Collection Thapae	in stock
gla_13442	Nova Collection Thapae	in stock
gla_13443	Nova Collection Thapae	in stock
gla_13444	Nova Collection Thapae	in stock
gla_13445	Nova Collection Thapae	in stock
gla_13446	Nova Collection Thapae	out of stock
gla_13456	Nova Collection Thapae	in stock
gla_13462	Nova Collection Thapae	in stock
gla_14410	Nova Collection Thapae	in stock
gla_14421	Nova Collection Thapae	in stock
gla_14422	Nova Collection Thapae	in stock
gla_14423	Nova Collection Thapae	in stock
gla_14424	Nova Collection Thapae	in stock
